id,age,Sex,Occupation,Field,Working Hours,Package,Job Type,Company Type,Marital Status,Location,Cerifications,Education_level,Bonus,Allowances,OverTime Pay,Salary Per Month
14,46,Male,Intermediate,IT,9 Hr,19 LPA,Remote,Mid-sized Company,Married,Metro,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,None,Fixed Monthly Overtime Bonus,39000 Rs
15,18,Female,Experienced,Digital marketing,7 Hr,11 LPA,Full-Time,Non-Profit / NGO,Single,Metro,Google Cloud Professional Engineer,Diploma,"₹20,000 - ₹50,000",None,Fixed Monthly Overtime Bonus,57000 Rs
16,66,Female,Fresher,Finance,6 Hr,16 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,Oracle Certified Java Programmer,Master's Degree,No Bonus,Medical Allowance,No Overtime,33000 Rs
17,51,Female,Intermediate,IT,5 Hr,23 LPA,Hybrid,Mid-sized Company,Single,City,Microsoft Azure Fundamentals,PhD,No Bonus,Medical Allowance,₹300/hour,133000 Rs
18,67,Female,Experienced,IT,2 Hr,20 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,Rural,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",Medical Allowance,Fixed Monthly Overtime Bonus,135000 Rs
19,56,Female,Working professional,IT,10 Hr,6 LPA,Full-Time,Consultancy Firm,Married,City,Oracle Certified Java Programmer,High School,"₹5,000 - ₹20,000",Housing Allowance,Fixed Monthly Overtime Bonus,121000 Rs
20,24,Male,Experienced,CA,5 Hr,11 LPA,Hybrid,Contract / Temporary Employment,Single,City,TensorFlow Developer Certificate,Professional Certification,"₹20,000 - ₹50,000",Company Car,₹300/hour,73000 Rs
21,55,Male,Fresher,CA,4 Hr,10 LPA,Hybrid,Scale-up (growing startup),Married,City,CompTIA Security+,Professional Certification,"₹5,000 - ₹20,000",None,No Overtime,103000 Rs
22,37,Male,Working professional,Digital marketing,2 Hr,11 LPA,Hybrid,Consultancy Firm,Single,City,Lean Six Sigma,Professional Certification,No Bonus,Food Allowance,Compensatory Off (No extra pay),123000 Rs
23,54,Male,Fresher,Finance,3 Hr,7 LPA,Hybrid,Consultancy Firm,Divorced,City,Google Cloud Professional Engineer,PhD,"₹20,000 - ₹50,000",Travel Allowance,Compensatory Off (No extra pay),129000 Rs
24,25,Male,Experienced,Finance,1 Hr,19 LPA,Full-Time,Freelancing / Self-employed,Married,Rural,Certified Data Scientist,Master's Degree,No Bonus,Medical Allowance,₹300/hour,43000 Rs
25,55,Male,Experienced,Finance,3 Hr,14 LPA,Full-Time,Freelancing / Self-employed,Single,Metro,Google Cloud Professional Engineer,Master's Degree,"₹5,000 - ₹20,000",Food Allowance,Fixed Monthly Overtime Bonus,135000 Rs
26,31,Male,Fresher,Digital marketing,1 Hr,12 LPA,Full-Time,Government Organization,Single,Rural,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Medical Allowance,Compensatory Off (No extra pay),113000 Rs
27,26,Female,Experienced,IT,1 Hr,10 LPA,Hybrid,Outsourcing / Service-based Company,Married,City,Certified Data Scientist,High School,"₹20,000 - ₹50,000",Food Allowance,₹200/hour,147000 Rs
28,32,Male,Intermediate,Digital marketing,3 Hr,17 LPA,Remote,Freelancing / Self-employed,Single,Rural,Google Cloud Professional Engineer,Professional Certification,No Bonus,Food Allowance,Compensatory Off (No extra pay),35000 Rs
29,44,Female,Working professional,Digital marketing,8 Hr,18 LPA,Hybrid,Consultancy Firm,Divorced,Rural,PMP (Project Management Professional),High School,"₹5,000 - ₹20,000",Company Car,₹100/hour,49000 Rs
30,44,Female,Intermediate,IT,8 Hr,20 LPA,Remote,Mid-sized Company,Married,City,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,Travel Allowance,₹300/hour,139000 Rs
31,67,Male,Working professional,CA,4 Hr,9 LPA,Full-Time,Government Organization,Divorced,Metro,TensorFlow Developer Certificate,Master's Degree,No Bonus,Medical Allowance,Compensatory Off (No extra pay),81000 Rs
32,37,Female,Intermediate,IT,5 Hr,30 LPA,Remote,Startup (early-stage),Divorced,City,Microsoft Azure Fundamentals,PhD,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,59000 Rs
33,70,Female,Intermediate,Digital marketing,7 Hr,18 LPA,Full-Time,Small Business / Local Firm,Divorced,Metro,CompTIA Security+,High School,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,107000 Rs
34,62,Male,Fresher,Digital marketing,2 Hr,25 LPA,Full-Time,Non-Profit / NGO,Divorced,City,Certified Data Scientist,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,No Overtime,147000 Rs
35,54,Male,Experienced,Finance,4 Hr,25 LPA,Full-Time,Freelancing / Self-employed,Single,Rural,Cisco CCNA,High School,No Bonus,Housing Allowance,₹300/hour,145000 Rs
36,20,Female,Working professional,IT,5 Hr,16 LPA,Hybrid,Outsourcing / Service-based Company,Divorced,City,AWS Certified Solutions Architect,PhD,"₹5,000 - ₹20,000",Travel Allowance,₹100/hour,93000 Rs
37,39,Female,Working professional,CA,8 Hr,27 LPA,Remote,Government Organization,Married,Rural,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",Internet Allowance,No Overtime,83000 Rs
38,67,Female,Fresher,CA,9 Hr,14 LPA,Full-Time,Small Business / Local Firm,Married,Metro,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Housing Allowance,₹100/hour,105000 Rs
39,23,Female,Intermediate,CA,4 Hr,11 LPA,Hybrid,Mid-sized Company,Single,City,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Multiple Allowances,Fixed Monthly Overtime Bonus,145000 Rs
40,24,Female,Intermediate,IT,4 Hr,29 LPA,Hybrid,Government Organization,Single,Metro,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Company Car,₹200/hour,121000 Rs
41,68,Female,Working professional,Finance,3 Hr,20 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,City,Lean Six Sigma,Bachelor's Degree,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,61000 Rs
42,38,Male,Intermediate,CA,9 Hr,30 LPA,Remote,Small Business / Local Firm,Married,Metro,CFA (Chartered Financial Analyst),Master's Degree,No Bonus,Internet Allowance,₹300/hour,139000 Rs
43,49,Female,Fresher,Finance,10 Hr,12 LPA,Remote,Freelancing / Self-employed,Married,City,AWS Certified Solutions Architect,Master's Degree,"₹20,000 - ₹50,000",Medical Allowance,Compensatory Off (No extra pay),29000 Rs
44,21,Female,Experienced,Digital marketing,5 Hr,12 LPA,Hybrid,Non-Profit / NGO,Married,Rural,Lean Six Sigma,PhD,"₹20,000 - ₹50,000",Multiple Allowances,Fixed Monthly Overtime Bonus,27000 Rs
45,41,Male,Fresher,IT,9 Hr,29 LPA,Full-Time,Freelancing / Self-employed,Single,Rural,PMP (Project Management Professional),Master's Degree,"₹5,000 - ₹20,000",Company Car,₹100/hour,141000 Rs
46,42,Male,Intermediate,CA,1 Hr,13 LPA,Hybrid,Large Enterprise,Married,City,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Food Allowance,No Overtime,45000 Rs
47,35,Male,Intermediate,Finance,1 Hr,15 LPA,Full-Time,Government Organization,Single,Metro,Certified Data Scientist,High School,No Bonus,Housing Allowance,₹100/hour,97000 Rs
48,36,Male,Fresher,Finance,1 Hr,17 LPA,Full-Time,Large Enterprise,Married,Rural,Microsoft Azure Fundamentals,PhD,"₹5,000 - ₹20,000",Food Allowance,₹200/hour,53000 Rs
49,60,Male,Working professional,Digital marketing,9 Hr,16 LPA,Full-Time,Large Enterprise,Single,City,AWS Certified Solutions Architect,Diploma,"₹5,000 - ₹20,000",Travel Allowance,₹300/hour,83000 Rs
50,42,Male,Experienced,IT,6 Hr,30 LPA,Hybrid,Freelancing / Self-employed,Married,Metro,Google Cloud Professional Engineer,PhD,"₹20,000 - ₹50,000",Food Allowance,Compensatory Off (No extra pay),103000 Rs
51,20,Male,Intermediate,CA,1 Hr,29 LPA,Hybrid,Non-Profit / NGO,Single,City,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Food Allowance,Fixed Monthly Overtime Bonus,127000 Rs
52,31,Female,Working professional,IT,6 Hr,7 LPA,Full-Time,Startup (early-stage),Divorced,City,TensorFlow Developer Certificate,Professional Certification,No Bonus,Travel Allowance,₹100/hour,39000 Rs
53,34,Male,Working professional,IT,6 Hr,7 LPA,Hybrid,Freelancing / Self-employed,Single,Rural,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Internet Allowance,₹300/hour,49000 Rs
54,55,Male,Intermediate,IT,9 Hr,9 LPA,Full-Time,Outsourcing / Service-based Company,Divorced,Rural,PMP (Project Management Professional),Diploma,"₹20,000 - ₹50,000",Food Allowance,Compensatory Off (No extra pay),145000 Rs
55,47,Female,Fresher,Digital marketing,7 Hr,8 LPA,Hybrid,Government Organization,Divorced,City,CompTIA Security+,Bachelor's Degree,No Bonus,Food Allowance,Fixed Monthly Overtime Bonus,53000 Rs
56,63,Male,Fresher,Digital marketing,10 Hr,27 LPA,Full-Time,Scale-up (growing startup),Married,City,Cisco CCNA,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,₹200/hour,97000 Rs
57,58,Male,Intermediate,IT,6 Hr,28 LPA,Hybrid,Big MNC (Multinational Corporation),Single,Rural,TensorFlow Developer Certificate,Diploma,No Bonus,Food Allowance,Fixed Monthly Overtime Bonus,37000 Rs
58,22,Male,Fresher,Digital marketing,5 Hr,14 LPA,Full-Time,Large Enterprise,Married,Rural,TensorFlow Developer Certificate,High School,No Bonus,Company Car,₹100/hour,35000 Rs
59,69,Female,Intermediate,CA,8 Hr,8 LPA,Remote,Large Enterprise,Married,Rural,TensorFlow Developer Certificate,Professional Certification,"₹20,000 - ₹50,000",Company Car,No Overtime,59000 Rs
60,47,Male,Experienced,CA,3 Hr,9 LPA,Hybrid,Freelancing / Self-employed,Divorced,City,Google Cloud Professional Engineer,Diploma,"₹20,000 - ₹50,000",Company Car,Compensatory Off (No extra pay),129000 Rs
61,22,Male,Intermediate,Finance,4 Hr,7 LPA,Hybrid,Mid-sized Company,Single,Metro,AWS Certified Solutions Architect,Diploma,"₹20,000 - ₹50,000",Internet Allowance,₹100/hour,75000 Rs
62,65,Male,Intermediate,IT,4 Hr,9 LPA,Hybrid,Consultancy Firm,Married,City,Google Cloud Professional Engineer,Professional Certification,No Bonus,None,₹300/hour,147000 Rs
63,53,Female,Experienced,IT,3 Hr,25 LPA,Hybrid,Big MNC (Multinational Corporation),Divorced,City,CompTIA Security+,Master's Degree,No Bonus,Housing Allowance,No Overtime,135000 Rs
64,38,Female,Fresher,Finance,7 Hr,10 LPA,Remote,Mid-sized Company,Single,Metro,Microsoft Azure Fundamentals,Diploma,"₹5,000 - ₹20,000",Food Allowance,No Overtime,137000 Rs
65,38,Male,Intermediate,Finance,5 Hr,5 LPA,Remote,Government Organization,Single,Metro,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,Compensatory Off (No extra pay),75000 Rs
66,21,Female,Working professional,CA,7 Hr,6 LPA,Remote,Small Business / Local Firm,Divorced,Metro,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,113000 Rs
67,70,Male,Fresher,CA,3 Hr,8 LPA,Hybrid,Non-Profit / NGO,Married,City,Certified Data Scientist,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,31000 Rs
68,20,Female,Fresher,Finance,2 Hr,5 LPA,Remote,Consultancy Firm,Divorced,Rural,TensorFlow Developer Certificate,PhD,"₹20,000 - ₹50,000",Multiple Allowances,₹100/hour,67000 Rs
69,59,Female,Working professional,CA,1 Hr,22 LPA,Remote,Outsourcing / Service-based Company,Single,Metro,Oracle Certified Java Programmer,Master's Degree,"₹20,000 - ₹50,000",None,Compensatory Off (No extra pay),33000 Rs
70,69,Female,Intermediate,Digital marketing,2 Hr,14 LPA,Full-Time,Consultancy Firm,Single,Rural,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",None,Fixed Monthly Overtime Bonus,147000 Rs
71,34,Female,Intermediate,Digital marketing,5 Hr,27 LPA,Remote,Small Business / Local Firm,Single,City,Google Cloud Professional Engineer,Diploma,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),55000 Rs
72,19,Female,Intermediate,IT,5 Hr,13 LPA,Remote,Contract / Temporary Employment,Married,Metro,Google Cloud Professional Engineer,Bachelor's Degree,No Bonus,Travel Allowance,No Overtime,121000 Rs
73,50,Male,Experienced,CA,10 Hr,28 LPA,Full-Time,Freelancing / Self-employed,Married,City,TensorFlow Developer Certificate,Diploma,"₹20,000 - ₹50,000",Travel Allowance,Fixed Monthly Overtime Bonus,69000 Rs
74,62,Male,Working professional,IT,8 Hr,10 LPA,Hybrid,Startup (early-stage),Single,Rural,CFA (Chartered Financial Analyst),High School,"₹20,000 - ₹50,000",Housing Allowance,Compensatory Off (No extra pay),147000 Rs
75,47,Male,Fresher,IT,2 Hr,24 LPA,Full-Time,Startup (early-stage),Single,City,Cisco CCNA,PhD,"₹20,000 - ₹50,000",Multiple Allowances,Compensatory Off (No extra pay),79000 Rs
76,48,Female,Intermediate,Finance,3 Hr,24 LPA,Full-Time,Large Enterprise,Single,Rural,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",Multiple Allowances,₹100/hour,77000 Rs
77,37,Male,Working professional,Finance,10 Hr,19 LPA,Hybrid,Big MNC (Multinational Corporation),Single,Rural,Google Cloud Professional Engineer,PhD,"₹20,000 - ₹50,000",Company Car,₹100/hour,53000 Rs
78,70,Male,Working professional,CA,1 Hr,5 LPA,Remote,Big MNC (Multinational Corporation),Single,Rural,Cisco CCNA,PhD,"₹5,000 - ₹20,000",Multiple Allowances,No Overtime,107000 Rs
79,24,Female,Experienced,Digital marketing,6 Hr,27 LPA,Remote,Contract / Temporary Employment,Married,Metro,Microsoft Azure Fundamentals,PhD,"₹20,000 - ₹50,000",Travel Allowance,₹300/hour,75000 Rs
80,22,Male,Intermediate,Finance,10 Hr,24 LPA,Hybrid,Government Organization,Married,Rural,Cisco CCNA,Master's Degree,No Bonus,Medical Allowance,₹300/hour,55000 Rs
81,54,Female,Working professional,Digital marketing,9 Hr,16 LPA,Hybrid,Mid-sized Company,Divorced,Metro,Lean Six Sigma,High School,"₹20,000 - ₹50,000",Housing Allowance,₹100/hour,71000 Rs
82,19,Female,Experienced,Digital marketing,5 Hr,19 LPA,Hybrid,Startup (early-stage),Divorced,Rural,Certified Data Scientist,High School,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),115000 Rs
83,23,Male,Intermediate,Digital marketing,1 Hr,29 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,City,Oracle Certified Java Programmer,High School,"₹20,000 - ₹50,000",Travel Allowance,₹100/hour,83000 Rs
84,54,Male,Working professional,CA,4 Hr,29 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Married,City,Oracle Certified Java Programmer,PhD,"₹5,000 - ₹20,000",Travel Allowance,₹100/hour,57000 Rs
85,40,Female,Fresher,Finance,3 Hr,20 LPA,Hybrid,Non-Profit / NGO,Married,Metro,AWS Certified Solutions Architect,High School,"₹20,000 - ₹50,000",Food Allowance,₹300/hour,111000 Rs
86,35,Female,Working professional,Finance,4 Hr,13 LPA,Full-Time,Startup (early-stage),Married,Rural,Google Cloud Professional Engineer,Diploma,"₹5,000 - ₹20,000",Housing Allowance,₹300/hour,117000 Rs
87,63,Male,Working professional,CA,8 Hr,26 LPA,Full-Time,Big MNC (Multinational Corporation),Single,City,Cisco CCNA,Bachelor's Degree,"₹20,000 - ₹50,000",Internet Allowance,No Overtime,49000 Rs
88,38,Female,Fresher,IT,4 Hr,24 LPA,Hybrid,Small Business / Local Firm,Married,City,CompTIA Security+,High School,"₹20,000 - ₹50,000",Housing Allowance,₹300/hour,141000 Rs
89,28,Female,Experienced,IT,4 Hr,13 LPA,Remote,Startup (early-stage),Single,Metro,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Internet Allowance,₹300/hour,27000 Rs
90,54,Male,Working professional,Digital marketing,2 Hr,25 LPA,Hybrid,Mid-sized Company,Divorced,Rural,CompTIA Security+,Professional Certification,No Bonus,Medical Allowance,Compensatory Off (No extra pay),111000 Rs
91,57,Male,Working professional,Finance,1 Hr,30 LPA,Hybrid,Non-Profit / NGO,Divorced,City,AWS Certified Solutions Architect,Diploma,No Bonus,Housing Allowance,₹100/hour,137000 Rs
92,25,Male,Experienced,IT,10 Hr,8 LPA,Remote,Large Enterprise,Single,Rural,Cisco CCNA,Bachelor's Degree,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,61000 Rs
93,63,Female,Fresher,CA,1 Hr,19 LPA,Hybrid,Large Enterprise,Divorced,Metro,Lean Six Sigma,Diploma,"₹20,000 - ₹50,000",Medical Allowance,₹300/hour,109000 Rs
94,46,Female,Experienced,CA,9 Hr,5 LPA,Hybrid,Government Organization,Married,City,Microsoft Azure Fundamentals,Bachelor's Degree,No Bonus,Food Allowance,₹300/hour,51000 Rs
95,33,Male,Intermediate,IT,9 Hr,12 LPA,Hybrid,Large Enterprise,Married,City,Microsoft Azure Fundamentals,Master's Degree,"₹20,000 - ₹50,000",Company Car,Compensatory Off (No extra pay),93000 Rs
96,69,Female,Working professional,IT,1 Hr,7 LPA,Full-Time,Small Business / Local Firm,Married,Metro,Lean Six Sigma,Professional Certification,"₹20,000 - ₹50,000",None,₹100/hour,125000 Rs
97,45,Male,Fresher,IT,10 Hr,22 LPA,Remote,Non-Profit / NGO,Married,Metro,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,131000 Rs
98,41,Female,Fresher,Finance,1 Hr,16 LPA,Remote,Contract / Temporary Employment,Single,City,CompTIA Security+,Master's Degree,No Bonus,Internet Allowance,₹100/hour,73000 Rs
99,47,Female,Intermediate,Digital marketing,7 Hr,6 LPA,Hybrid,Scale-up (growing startup),Divorced,City,TensorFlow Developer Certificate,PhD,"₹20,000 - ₹50,000",None,₹300/hour,71000 Rs
100,20,Female,Intermediate,Finance,5 Hr,5 LPA,Hybrid,Government Organization,Divorced,Metro,Oracle Certified Java Programmer,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,₹200/hour,71000 Rs
101,32,Male,Intermediate,Digital marketing,4 Hr,17 LPA,Full-Time,Government Organization,Divorced,Metro,Cisco CCNA,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,81000 Rs
102,60,Male,Intermediate,IT,6 Hr,17 LPA,Hybrid,Consultancy Firm,Divorced,Rural,Oracle Certified Java Programmer,High School,"₹20,000 - ₹50,000",Company Car,Fixed Monthly Overtime Bonus,131000 Rs
103,62,Female,Experienced,IT,4 Hr,11 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,City,Microsoft Azure Fundamentals,Diploma,No Bonus,Food Allowance,₹300/hour,91000 Rs
104,33,Female,Working professional,Finance,5 Hr,29 LPA,Hybrid,Big MNC (Multinational Corporation),Single,Rural,Cisco CCNA,Professional Certification,No Bonus,Multiple Allowances,Fixed Monthly Overtime Bonus,33000 Rs
105,39,Male,Intermediate,IT,8 Hr,22 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Rural,Certified Data Scientist,Master's Degree,No Bonus,Multiple Allowances,₹100/hour,85000 Rs
106,42,Female,Intermediate,CA,2 Hr,28 LPA,Remote,Mid-sized Company,Single,City,Oracle Certified Java Programmer,Diploma,"₹20,000 - ₹50,000",Medical Allowance,₹100/hour,59000 Rs
107,52,Female,Fresher,Digital marketing,6 Hr,9 LPA,Hybrid,Outsourcing / Service-based Company,Divorced,Metro,AWS Certified Solutions Architect,Diploma,"₹20,000 - ₹50,000",Food Allowance,₹100/hour,111000 Rs
108,61,Male,Fresher,CA,8 Hr,19 LPA,Remote,Freelancing / Self-employed,Divorced,Rural,AWS Certified Solutions Architect,Diploma,No Bonus,Housing Allowance,₹300/hour,45000 Rs
109,59,Male,Intermediate,Digital marketing,2 Hr,19 LPA,Remote,Product-based Company,Single,City,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,91000 Rs
110,47,Male,Experienced,IT,9 Hr,12 LPA,Full-Time,Startup (early-stage),Single,Rural,Oracle Certified Java Programmer,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,Fixed Monthly Overtime Bonus,41000 Rs
111,58,Male,Fresher,Finance,10 Hr,29 LPA,Full-Time,Government Organization,Divorced,Metro,Certified Data Scientist,Professional Certification,"₹20,000 - ₹50,000",Internet Allowance,₹100/hour,67000 Rs
112,20,Female,Working professional,Finance,4 Hr,13 LPA,Full-Time,Startup (early-stage),Married,Rural,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Company Car,₹300/hour,113000 Rs
113,70,Female,Working professional,IT,3 Hr,5 LPA,Full-Time,Consultancy Firm,Married,City,Lean Six Sigma,Master's Degree,No Bonus,None,₹300/hour,99000 Rs
114,68,Female,Fresher,IT,9 Hr,28 LPA,Hybrid,Startup (early-stage),Divorced,Rural,Microsoft Azure Fundamentals,Professional Certification,"₹5,000 - ₹20,000",Company Car,No Overtime,123000 Rs
115,35,Female,Experienced,Finance,5 Hr,19 LPA,Remote,Government Organization,Divorced,Rural,CFA (Chartered Financial Analyst),PhD,No Bonus,None,Compensatory Off (No extra pay),59000 Rs
116,35,Male,Fresher,Finance,7 Hr,25 LPA,Hybrid,Scale-up (growing startup),Divorced,City,CompTIA Security+,PhD,No Bonus,Housing Allowance,₹200/hour,101000 Rs
117,23,Male,Experienced,Digital marketing,2 Hr,6 LPA,Remote,Small Business / Local Firm,Single,City,Oracle Certified Java Programmer,PhD,No Bonus,Multiple Allowances,₹300/hour,127000 Rs
118,25,Female,Fresher,Digital marketing,10 Hr,26 LPA,Full-Time,Mid-sized Company,Divorced,Metro,AWS Certified Solutions Architect,PhD,"₹5,000 - ₹20,000",Food Allowance,No Overtime,37000 Rs
119,45,Female,Intermediate,IT,9 Hr,16 LPA,Hybrid,Freelancing / Self-employed,Single,Rural,TensorFlow Developer Certificate,High School,No Bonus,Travel Allowance,₹200/hour,87000 Rs
120,55,Female,Working professional,CA,7 Hr,21 LPA,Full-Time,Non-Profit / NGO,Divorced,Metro,Certified Data Scientist,PhD,No Bonus,Company Car,₹100/hour,143000 Rs
121,41,Male,Fresher,Digital marketing,1 Hr,12 LPA,Remote,Product-based Company,Married,Rural,Google Cloud Professional Engineer,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,37000 Rs
122,28,Male,Intermediate,IT,2 Hr,12 LPA,Full-Time,Product-based Company,Married,Metro,CFA (Chartered Financial Analyst),Master's Degree,"₹20,000 - ₹50,000",Housing Allowance,₹300/hour,97000 Rs
123,38,Female,Experienced,CA,8 Hr,18 LPA,Remote,Freelancing / Self-employed,Married,Metro,Certified Data Scientist,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,₹100/hour,137000 Rs
124,70,Female,Working professional,CA,4 Hr,6 LPA,Hybrid,Small Business / Local Firm,Married,City,Microsoft Azure Fundamentals,Professional Certification,"₹5,000 - ₹20,000",Company Car,₹300/hour,63000 Rs
125,47,Female,Experienced,Finance,7 Hr,30 LPA,Full-Time,Scale-up (growing startup),Married,City,Cisco CCNA,Professional Certification,No Bonus,Food Allowance,₹100/hour,65000 Rs
126,26,Female,Working professional,Digital marketing,9 Hr,7 LPA,Remote,Product-based Company,Divorced,Rural,Certified Data Scientist,PhD,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,107000 Rs
127,45,Male,Experienced,IT,2 Hr,7 LPA,Full-Time,Mid-sized Company,Divorced,City,AWS Certified Solutions Architect,Professional Certification,No Bonus,Housing Allowance,Compensatory Off (No extra pay),33000 Rs
128,20,Female,Fresher,IT,2 Hr,8 LPA,Remote,Government Organization,Married,Rural,Cisco CCNA,Master's Degree,No Bonus,Company Car,₹300/hour,71000 Rs
129,49,Female,Intermediate,Finance,9 Hr,14 LPA,Remote,Consultancy Firm,Divorced,Rural,Oracle Certified Java Programmer,PhD,"₹5,000 - ₹20,000",Internet Allowance,₹100/hour,71000 Rs
130,63,Female,Working professional,CA,1 Hr,26 LPA,Full-Time,Scale-up (growing startup),Divorced,City,Microsoft Azure Fundamentals,Master's Degree,No Bonus,Internet Allowance,₹200/hour,75000 Rs
131,63,Female,Experienced,Finance,7 Hr,17 LPA,Full-Time,Big MNC (Multinational Corporation),Single,Metro,Microsoft Azure Fundamentals,Bachelor's Degree,"₹20,000 - ₹50,000",Housing Allowance,₹300/hour,93000 Rs
